code	name
54501	MIRTAZAPINE ORAL
7045	CLOPIDOGREL 75 MG TABLET
12206	SIMVASTATIN 20 MG TABLET
16568	DIGOXIN 125 MCG TAB
74201	PRENATAL VIT & CALCIUM 11-FERROUS FUM-FOLIC ACID 65 MG-1 MG TABLET
73370	OMEGA-3 FATTY ACIDS-FISH OIL 300 MG-1,000 MG CAPSULE
64352	WELLBUTRIN ORAL
6839	AMLODIPINE 2.5 MG TABLET
42319	ASPIRIN ORAL
97736	AMIODARONE 150 MG/100 ML (1.5 MG/ML) IN DEXTROSE 5 % IV
66113	OXYCODONE-ACETAMINOPHEN 10 MG-300 MG TAB
25172	PRENATAL MULTIVIT-CA-MIN-FE-FA TABLET
11000	TAMSULOSIN ER 0.4 MG CAPSULE,EXTENDED RELEASE 24 HR
16887	ERGOCALCIFEROL (VITAMIN D2) 50,000 UNIT CAP
1728	DOXYCYCLINE HYCLATE 100 MG CAPSULE
17771	LETROZOLE 2.5 MG TABLET
712	ATORVASTATIN 40 MG TABLET
65148	INSULIN DETEMIR 100 UNIT/ML (3 ML) SUBCUTANEOUS PEN
12070	LEVOTHYROXINE 50 MCG TAB
49190	FIBER THERAPY ORAL
5341	QUETIAPINE 200 MG TABLET
15419	ASPIRIN 81 MG CHEWABLE TABLET
16390	PRAVASTATIN 20 MG TABLET
12204	PANTOPRAZOLE 40 MG TAB, DELAYED RELEASE
23780	OLMESARTAN 20 MG TABLET
24420	MULTIVITAMIN,TX-MINERALS TAB
10608	ASCORBIC ACID 500 MG TABLET
7005	NIFEDIPINE ER 30 MG TABLET,EXTENDED RELEASE
85317	INSULIN GLULISINE 100 UNIT/ML SUBCUTANEOUS PEN
14090	METOPROLOL TARTRATE 50 MG TAB
2888	ATORVASTATIN 10 MG TAB
8531	LAMOTRIGINE 25 MG TABLET
53094	LISINOPRIL ORAL
2393	ENALAPRIL MALEATE 10 MG TABLET
40082	MULTIVIT-FA-CA-IRON &OTHER MIN-LYCOPENE-LUTEIN 0.4 MG-162 MG-18 MG TAB
2808	ENALAPRIL MALEATE 5 MG TABLET
7627	HYDROCODONE 10 MG-ACETAMINOPHEN 325 MG TABLET
12620	ESOMEPRAZOLE MAGNESIUM 40 MG CAP, DELAYED RELEASE
9554	OXYCODONE-ACETAMINOPHEN 5 MG-325 MG TABLET
65107	INSULIN DETEMIR 100 UNIT/ML SUBCUTANEOUS SOLUTION
20183	RAMIPRIL 10 MG CAPSULE
5544	CLONAZEPAM 1 MG TABLET
10043	ALPRAZOLAM 0.25 MG TAB
2063	INSULIN GLARGINE 100 UNIT/ML SUBCUTANEOUS SOLUTION
15914	FOLIC ACID 1 MG TABLET
79247	RAMIPRIL 2.5 MG TAB
49270	FISH OIL ORAL
14951	DOCUSATE SODIUM 100 MG CAPSULE
135	QUETIAPINE 25 MG TABLET
18564	FENTANYL 75 MCG/HR TRANSDERM PATCH
5725	GLIPIZIDE ER 5 MG TABLET, EXTENDED RELEASE 24 HR
8917	MYCOPHENOLATE MOFETIL 500 MG TAB
11561	SODIUM BICARBONATE 650 MG TABLET
3330	ALPRAZOLAM 1 MG TABLET
5245	SIMVASTATIN 10 MG TABLET
