code	desc
188.9	Malignant neoplasm of bladder, part unspecified
584.5	Acute kidney failure with lesion of tubular necrosis
174.9	Malignant neoplasm of breast (female), unspecified
211.3	Benign neoplasm of colon
255.10	Hyperaldosteronism, unspecified
272.4	Other and unspecified hyperlipidemia
278.02	Overweight
372.14	Other chronic allergic conjunctivitis
401.9	Unspecified essential hypertension
414.00	Coronary atherosclerosis of unspecified type of vessel, native or graft
585.3	Chronic kidney disease, Stage III (moderate)
790.22	Impaired glucose tolerance test (oral)
274.9	Gout, unspecified
285.21	Anemia in chronic kidney disease
585.4	Chronic kidney disease, Stage IV (severe)
588.81	Secondary hyperparathyroidism (of renal origin)
593.9	Unspecified disorder of kidney and ureter
996.81	Complications of transplanted kidney
V42.0	Kidney replaced by transplant
V45.01	Cardiac pacemaker in situ
V45.82	Percutaneous transluminal coronary angioplasty status
332.0	Paralysis agitans
296.35	Major depressive affective disorder, recurrent episode, in partial or unspecified remission
305.1	Tobacco use disorder
493.90	Asthma, unspecified type, unspecified
705.83	Hidradenitis
180.9	Malignant neoplasm of cervix uteri, unspecified site
300.00	Anxiety state, unspecified
577.9	Unspecified disease of pancreas
V15.81	Personal history of noncompliance with medical treatment, presenting hazards to health
V46.2	Other dependence on machines, supplemental oxygen
070.30	Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta
155.0	Malignant neoplasm of liver, primary
199.1	Other malignant neoplasm without specification of site
388.70	Otalgia, unspecified
610.0	Solitary cyst of breast
795.51	Nonspecific reaction to tuberculin skin test without active tuberculosis
585.1	Chronic kidney disease, Stage I
719.46	Pain in joint, lower leg
791.0	Proteinuria
723.1	Cervicalgia
726.2	Other affections of shoulder region, not elsewhere classified
952.9	Unspecified site of spinal cord injury without evidence of spinal bone injury
V57.1	Care involving other physical therapy
135	Sarcoidosis
342.90	Hemiplegia, unspecified, affecting unspecified side
434.91	Cerebral artery occlusion, unspecified with cerebral infarction
460	Acute nasopharyngitis [common cold]
478.19	Other disease of nasal cavity and sinuses
719.41	Pain in joint, shoulder region
729.89	Other musculoskeletal symptoms referable to limbs
733.00	Osteoporosis, unspecified
V57.21	Encounter for occupational therapy
272.0	Pure hypercholesterolemia
278.00	Obesity, unspecified
285.9	Anemia, unspecified
410.90	Acute myocardial infarction of unspecified site, episode of care unspecified
428.0	Congestive heart failure, unspecified
443.9	Peripheral vascular disease, unspecified
533.90	Peptic ulcer of unspecified site, unspecified as acute or chronic, without mention of hemorrhage or perforation, without mention of obstruction
585.9	Chronic kidney disease, unspecified
727.03	Trigger finger (acquired)
V10.82	Personal history of malignant melanoma of skin
156.0	Malignant neoplasm of gallbladder
250.00	Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled
157.9	Malignant neoplasm of pancreas, part unspecified
599.0	Urinary tract infection, site not specified
311	Depressive disorder, not elsewhere classified
440.20	Atherosclerosis of native arteries of the extremities, unspecified
789.00	Abdominal pain, unspecified site
427.31	Atrial fibrillation
427.32	Atrial flutter
564.00	Constipation, unspecified
600.00	Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS)
728.2	Muscular wasting and disuse atrophy, not elsewhere classified
729.5	Pain in limb
780.93	Memory loss
788.41	Urinary frequency
V15.88	History of fall
786.09	Other respiratory abnormalities
724.2	Lumbago
728.87	Muscle weakness (generalized)
729.2	Neuralgia, neuritis, and radiculitis, unspecified
288.60	Leukocytosis, unspecified
435.9	Unspecified transient cerebral ischemia
477.9	Allergic rhinitis, cause unspecified
780.2	Syncope and collapse
785.0	Tachycardia, unspecified
785.2	Undiagnosed cardiac murmurs
790.29	Other abnormal glucose
790.5	Other nonspecific abnormal serum enzyme levels
331.83	Mild cognitive impairment, so stated
362.50	Macular degeneration (senile), unspecified
365.9	Unspecified glaucoma
424.1	Aortic valve disorders
459.81	Venous (peripheral) insufficiency, unspecified
491.21	Obstructive chronic bronchitis with (acute) exacerbation
493.20	Chronic obstructive asthma, unspecified
530.81	Esophageal reflux
536.8	Dyspepsia and other specified disorders of function of stomach
692.9	Contact dermatitis and other eczema, unspecified cause
703.0	Ingrowing nail
706.8	Other specified diseases of sebaceous glands
715.90	Osteoarthrosis, unspecified whether generalized or localized, site unspecified
724.1	Pain in thoracic spine
727.3	Other bursitis
780.79	Other malaise and fatigue
780.96	Generalized pain
781.2	Abnormality of gait
782.1	Rash and other nonspecific skin eruption
782.3	Edema
786.50	Chest pain, unspecified
787.29	Other dysphagia
788.30	Urinary incontinence, unspecified
793.11	Solitary pulmonary nodule
805.8	Closed fracture of unspecified vertebral column without mention of spinal cord injury
959.09	Injury of face and neck
E888.9	Unspecified fall
094.0	Tabes dorsalis
250.02	Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled
273.1	Monoclonal paraproteinemia
788.1	Dysuria
233.0	Carcinoma in situ of breast
244.9	Unspecified acquired hypothyroidism
300.81	Somatization disorder
784.0	Headache
430	Subarachnoid hemorrhage
577.0	Acute pancreatitis
585.6	End stage renal disease
786.2	Cough
787.1	Heartburn
787.91	Diarrhea
070.70	Unspecified viral hepatitis C without hepatic coma
571.5	Cirrhosis of liver without mention of alcohol
581.9	Nephrotic syndrome with unspecified pathological lesion in kidney
189.0	Malignant neoplasm of kidney, except pelvis
V45.73	Acquired absence of kidney
V45.81	Aortocoronary bypass status
280.9	Iron deficiency anemia, unspecified
